Date	Close	Change	Avg Gain	Avg Loss	RS	RSI										
14/03/2006	34.990002															
15/03/2006	35.119999	0.129997														
16/03/2006	34.080002	-1.039997														
17/03/2006	33.950001	-0.130001														
20/03/2006	34.150002	0.200001														
21/03/2006	34.439999	0.289997														
22/03/2006	34.369999	-0.07														
23/03/2006	34.75	0.380001														
24/03/2006	36.130001	1.380001														
27/03/2006	35.330002	-0.799999														
28/03/2006	34.09	-1.240002														
29/03/2006	34.290001	0.200001														
30/03/2006	33.59	-0.700001														
31/03/2006	33.16	-0.43														
03/04/2006	33.18	0.02	0.371428286	0.63	0.589568707	37.08985366										
04/04/2006	33.43	0.25	0.362754837	0.585	0.620093738	38.27517652										
05/04/2006	34.779999	1.349999	0.433272277	0.543214286	0.797608399	44.37053141										
06/04/2006	34.700001	-0.079998	0.402324257	0.510127408	0.788674066	44.09266512										
07/04/2006	33.689999	-1.010002	0.37358681	0.545832736	0.6844346	40.63289841										
10/04/2006	34.57	0.880001	0.409759252	0.506844684	0.808451318	44.70406861										
11/04/2006	34.349998	-0.220002	0.380490734	0.48635592	0.782329809	43.89366126										
12/04/2006	35.419998	1.07	0.429741396	0.451616212	0.951563263	48.75902724										
13/04/2006	31.799999	-3.619999	0.399045582	0.677929268	0.588624213	37.05245132										
17/04/2006	30.6	-1.199999	0.370542326	0.715219963	0.518081633	34.12738956										
18/04/2006	31.23	0.63	0.389075017	0.664132823	0.585839163	36.94190286										
19/04/2006	31.540001	0.310001	0.383426873	0.616694764	0.621744979	38.33802398										
20/04/2006	31.379999	-0.160002	0.356039239	0.584073853	0.609579145	37.87195843										
21/04/2006	31.73	0.350001	0.355607937	0.542354292	0.655674606	39.60165867										
24/04/2006	32.810001	1.080001	0.407350298	0.503614699	0.808853075	44.71635017										
25/04/2006	33.41	0.599999	0.42111092	0.467642221	0.900498075	47.38221454										
26/04/2006	32.799999	-0.610001	0.391031568	0.477810705	0.818381765	45.00604774										
27/04/2006	32.799999	0	0.363100742	0.443681369	0.818381765	45.00604774										
28/04/2006	32.349998	-0.450001	0.337164975	0.444132771	0.759153561	43.15447939										
01/05/2006	31.790001	-0.559997	0.313081762	0.452408788	0.692032894	40.8994941										
02/05/2006	32.619999	0.829998	0.350004351	0.420093874	0.833157473	45.44931275										
03/05/2006	33.27	0.650001	0.371432683	0.390087169	0.952178673	48.77518058										
04/05/2006	33.950001	0.680001	0.393473277	0.3622238	1.086271187	52.06759284										
05/05/2006	34.43	0.479999	0.399653686	0.336350671	1.188205406	54.30045108										
08/05/2006	33.950001	-0.479999	0.371106994	0.346611266	1.070672047	51.70650025										
09/05/2006	34.16	0.209999	0.35959928	0.321853318	1.117276907	52.76952217										
10/05/2006	32.830002	-1.329998	0.333913617	0.393863653	0.847789875	45.88129238										
11/05/2006	31.49	-1.340002	0.310062644	0.461444963	0.671938517	40.1891882										
12/05/2006	31.66	0.17	0.30005817	0.428484609	0.700277592	41.18607426										
15/05/2006	31.120001	-0.539999	0.278625443	0.436449922	0.638390407	38.96448636										
16/05/2006	30.809999	-0.310002	0.258723626	0.427417928	0.605317674	37.70703356										
17/05/2006	30.77	-0.039999	0.240243367	0.399745147	0.600991328	37.53869978										
18/05/2006	31.35	0.58	0.264511698	0.371191923	0.7126009	41.60927977										
19/05/2006	34.950001	3.600001	0.502760934	0.344678214	1.458638561	59.32708386										
22/05/2006	33.18	-1.770001	0.466849439	0.446486984	1.04560593	51.11472913										
23/05/2006	31.790001	-1.389999	0.43350305	0.5138807	0.843586946	45.75791491										
24/05/2006	31.18	-0.610001	0.402538547	0.520746435	0.77300298	43.59851556										
25/05/2006	30.969999	-0.210001	0.373785793	0.498550333	0.749745349	42.8488265										
26/05/2006	31.629999	0.66	0.394229665	0.462939595	0.85157906	45.99204422										
30/05/2006	30.48	-1.149999	0.366070403	0.512015267	0.714959938	41.68959998										
31/05/2006	30.889999	0.409999	0.36920816	0.475442748	0.776556509	43.71133172										
01/06/2006	31.389999	0.5	0.378550434	0.441482551	0.857452765	46.16283016										
02/06/2006	30.1	-1.289999	0.351511118	0.502090869	0.700094623	41.17974456										
05/06/2006	29.059999	-1.040001	0.326403181	0.540513021	0.603876628	37.65106477										
06/06/2006	28.950001	-0.109998	0.303088668	0.509761948	0.594569031	37.28713023										
07/06/2006	28	-0.950001	0.281439477	0.541207595	0.5200213	34.21144824										
08/06/2006	27.030001	-0.969999	0.261336657	0.571835552	0.457013658	31.36646354										
09/06/2006	26.75	-0.280001	0.242669753	0.550990227	0.440424787	30.57603499										
12/06/2006	25.68	-1.07	0.2253362	0.588062354	0.383184195	27.70304897										
13/06/2006	24.389999	-1.290001	0.209240757	0.638200829	0.327860365	24.69087668										
