Date	Close	Change	Avg Gain	Avg Loss	RS	RSI	
23/05/2006	319.25	2.75	1.326705453	1.421115125	0.933566486	48.28209904	
24/05/2006	317	-2.25	1.231940778	1.480321188	0.832211812	45.42115745	
25/05/2006	318.75	1.75	1.268945008	1.37458396	0.923148418	48.00193315	
26/05/2006	323	4.25	1.481877508	1.276399392	1.160982618	53.72475505	
30/05/2006	320.25	-2.75	1.376029114	1.381656578	0.995927017	49.89796764	
31/05/2006	320.5	0.25	1.295598463	1.282966822	1.009845649	50.24493545	
01/06/2006	321.5	1	1.274484287	1.191326335	1.069802832	51.68621936	
02/06/2006	320.5	-1	1.183449695	1.177660168	1.004916127	50.12260181	
05/06/2006	320.75	0.25	1.116774717	1.093541585	1.021245769	50.52556126	
06/06/2006	320	-0.75	1.037005094	1.0690029	0.970067616	49.24032089	
07/06/2006	324	4	1.248647588	0.99264555	1.257898741	55.71103425	
08/06/2006	327.5	3.5	1.409458474	0.921742297	1.529124224	60.46062149	
09/06/2006	334	6.5	1.773068583	0.855903561	2.071575191	67.44341461	
12/06/2006	333.75	-0.25	1.646420827	0.812624735	2.026053055	66.95365276	
13/06/2006	329.75	-4	1.52881934	1.040294397	1.469602589	59.50765502	
14/06/2006	327.25	-2.5	1.419617958	1.144559083	1.240318634	55.36349228	
15/06/2006	331	3.75	1.586073818	1.062804863	1.49234716	59.87717858	
16/06/2006	332	1	1.544211403	0.98689023	1.564724583	61.00945861	
19/06/2006	331.5	-0.5	1.433910588	0.952112356	1.506030858	60.09626151	
20/06/2006	328	-3.5	1.331488403	1.134104331	1.174044016	54.00277122	
21/06/2006	329.5	1.5	1.343524946	1.053096879	1.275784758	56.05911338	
22/06/2006	327	-2.5	1.247558878	1.156447102	1.078785944	51.89499897	
23/06/2006	327.5	0.5	1.194161816	1.073843737	1.112044308	52.65250847	
26/06/2006	330	2.5	1.287435972	0.997140613	1.291127806	56.35337333	
27/06/2006	331	1	1.266904831	0.925916284	1.368271466	57.77511091	
28/06/2006	328.5	-2.5	1.176411629	1.038350835	1.132961605	53.11683073	
29/06/2006	330.5	2	1.235239369	0.964182918	1.281125548	56.16199202	
