Date	Close	Change	Avg Gain	Avg Loss	RS	RSI	
14/03/2006	19.76						
15/03/2006	19.92	0.16					
16/03/2006	19.65	-0.27					
17/03/2006	19.540001	-0.109999					
20/03/2006	19.620001	0.08					
21/03/2006	19.780001	0.16					
22/03/2006	19.98	0.199999					
23/03/2006	19.700001	-0.279999					
24/03/2006	19.6	-0.100001					
27/03/2006	19.75	0.15					
28/03/2006	19.58	-0.17					
29/03/2006	19.82	0.24					
30/03/2006	19.700001	-0.119999					
31/03/2006	19.459999	-0.240002					
03/04/2006	19.35	-0.109999	0.164999833	0.174999875	0.942856864	48.52940438	
04/04/2006	19.299999	-0.050001	0.153214131	0.166071384	0.922579961	47.98655868	
05/04/2006	19.48	0.180001	0.155127479	0.154209142	1.005955137	50.14843644	
06/04/2006	19.379999	-0.100001	0.144046945	0.150337132	0.958159455	48.93163591	
07/04/2006	19.24	-0.139999	0.133757877	0.149598694	0.894111262	47.20479096	
10/04/2006	19.360001	0.120001	0.132775243	0.138913073	0.955815317	48.87042804	
11/04/2006	19.16	-0.200001	0.123291297	0.143276496	0.860513065	46.25138523	
12/04/2006	19.120001	-0.039999	0.114484776	0.135899532	0.842422147	45.72362248	
13/04/2006	19.450001	0.33	0.12987872	0.126192423	1.029211718	50.71977995	
17/04/2006	19.190001	-0.26	0.120601669	0.135750107	0.888409384	47.04538071	
18/04/2006	19.389999	0.199998	0.126272835	0.126053671	1.001738662	50.04342879	
19/04/2006	19.559999	0.17	0.129396204	0.117049837	1.105479576	52.50488244	
20/04/2006	19.450001	-0.109998	0.120153618	0.116546135	1.030953269	50.76203794	
21/04/2006	19.059999	-0.390002	0.111571217	0.136078696	0.81990216	45.05199114	
24/04/2006	18.91	-0.149999	0.103601844	0.137073004	0.755815088	43.04639442	
25/04/2006	19.15	0.24	0.11334457	0.127282075	0.890499074	47.10391484	
26/04/2006	19.49	0.34	0.129534243	0.118190498	1.095978488	52.28958666	
27/04/2006	20.08	0.59	0.162424655	0.10974832	1.479973954	59.67699586	
28/04/2006	19.98	-0.1	0.150822894	0.109052011	1.383036333	58.03672876	
01/05/2006	19.49	-0.49	0.14004983	0.136262582	1.027793749	50.68531991	
02/05/2006	19.59	0.1	0.137189128	0.12652954	1.08424584	52.02101494	
03/05/2006	19.16	-0.43	0.127389904	0.148206002	0.859546191	46.22343856	
04/05/2006	19.34	0.18	0.131147768	0.137619859	0.952971246	48.79596911	
05/05/2006	19.51	0.17	0.133922928	0.127789869	1.04799331	51.17171551	
08/05/2006	20.110001	0.600001	0.167214218	0.118662021	1.40916375	58.49182107	
09/05/2006	19.9	-0.210001	0.155270346	0.125186234	1.240314858	55.36341704	
10/05/2006	19.58	-0.32	0.144179607	0.139101503	1.036506464	50.8963012	
11/05/2006	19.360001	-0.219999	0.133881063	0.144879895	0.924083103	48.02719289	
12/05/2006	19.040001	-0.32	0.12431813	0.157388474	0.789880776	44.13035699	
15/05/2006	19.32	0.279999	0.135438192	0.14614644	0.926729327	48.09857379	
16/05/2006	19.059999	-0.260001	0.125764036	0.154278909	0.815173225	44.90883922	
17/05/2006	18.66	-0.399999	0.11678089	0.171830344	0.679629032	40.46304387	
18/05/2006	18.65	-0.01	0.108439398	0.160271034	0.676600105	40.35548506	
19/05/2006	18.360001	-0.289999	0.100693727	0.169537317	0.593932526	37.26208708	
22/05/2006	18.01	-0.350001	0.093501318	0.18242758	0.512539375	33.88601866	
23/05/2006	17.950001	-0.059999	0.086822652	0.173682682	0.499892399	33.32855071	
24/05/2006	17.889999	-0.060002	0.080621034	0.165562633	0.486951874	32.74832779	
25/05/2006	18.049999	0.16	0.08629096	0.153736731	0.561290461	35.95041892	
26/05/2006	18.219999	0.17	0.092270178	0.142755535	0.646350961	39.25960966	
30/05/2006	17.809999	-0.41	0.085679451	0.161844426	0.529393892	34.61462054	
31/05/2006	18.02	0.210001	0.094559561	0.15028411	0.629205319	38.62038209	
01/06/2006	18.040001	0.020001	0.08923395	0.13954953	0.639442852	39.0036683	
02/06/2006	18.23	0.189999	0.096431453	0.129581707	0.744174897	42.66630016	
05/06/2006	17.98	-0.25	0.089543492	0.138183013	0.64800651	39.32062806	
06/06/2006	17.790001	-0.189999	0.083147529	0.141884155	0.586024059	36.94925405	
07/06/2006	17.389999	-0.400002	0.077208419	0.160321144	0.481586005	32.50476203	
08/06/2006	17.110001	-0.279998	0.071693532	0.168869491	0.42454994	29.80239078	
09/06/2006	17.16	0.049999	0.070143923	0.156807385	0.44732538	30.90703625	
12/06/2006	16.860001	-0.299999	0.065133643	0.167035357	0.389939255	28.05440982	
13/06/2006	17.120001	0.26	0.079052668	0.15510426	0.509674384	33.76055056	
14/06/2006	17.73	0.609999	0.116977406	0.144025384	0.812199923	44.81845037	
15/06/2006	18.120001	0.390001	0.136479091	0.133737857	1.020497072	50.50722844	
16/06/2006	18.299999	0.179998	0.139587585	0.124185153	1.124027967	52.91964062	
19/06/2006	18.24	-0.059999	0.129617043	0.119600428	1.083750666	52.00961341	
20/06/2006	18.15	-0.09	0.120358683	0.117486111	1.024450307	50.6038752	
21/06/2006	18.4	0.25	0.129618777	0.109094246	1.188135776	54.29899684	
22/06/2006	18.25	-0.15	0.120360293	0.112016086	1.07449115	51.79540775	
23/06/2006	18	-0.25	0.111763129	0.12187208	0.917052777	47.83659521	
